date,headline,doc_type,material_type,section,keywords
2020-03-01,"On ‘S.N.L.’, John Mulaney and Jake Gyllenhaal Find Humor in the Coronavirus",article,News,,['Television']
2020-03-01,‘Forget About It!’,article,News,,['Crossword Puzzles']
2020-03-01,"A Virus Spreads, Stocks Fall, and Democrats See an Opening to Hit Trump",article,News,,"['Coronavirus (2019-nCoV)', 'Presidential Election of 2020', 'United States Economy', 'Interest Rates', 'Income Inequality', 'United States Politics and Government', 'Epidemics']"
2020-03-01,Wall Street Has Lost Its Nerve. What Will It Take to Get It Back?,article,News,,"['Stocks and Bonds', ""Standard & Poor's 500-Stock Index"", 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'United States Economy']"
2020-03-01,Sungjae Im Gets First PGA Tour Win at Honda Classic,article,News,,['Golf']
2020-03-01,In Trump’s Words: Praise for the Taliban and Optimism About the Coronavirus,article,News,,"['Politics and Government', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']"
2020-03-01,How the Democrats’ ‘15% Rule’ Could Reshape the Race on Super Tuesday,article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'United States Politics and Government']"
2020-03-01,Abortion Case in Colombia Could Be a Landmark in Latin America,article,News,,"['ABORTION', 'Women and Girls']"
2020-03-01,Israeli Slugfest:The Campaign in Pictures,article,News,,"['Politics and Government', 'Elections']"
2020-03-01,"Velvet Ropes, Inclusion and Kanye West in Paris",article,News,,"['Fashion and Apparel', 'Paris Fashion Week', 'your-feed-fashion']"
2020-03-01,Kobe Bryant’s Widow ‘Devastated’ by Reports That Deputies Shared Crash Photos,article,News,,"['Helicopters', 'Privacy', 'Aviation Accidents, Safety and Disasters']"
2020-03-01,Fear of Coronavirus Leaves the Faithful Without Mass in Italy’s North,article,News,,"['Coronavirus (2019-nCoV)', 'Travel Warnings']"
2020-03-01,"For Buttigieg, a Search for Black Support That Never Arrived",article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People']"
2020-03-01,"Defiant Iranian Directors Speak Out About Censorship, Onscreen and Off",article,News,,"['Movies', 'Berlin International Film Festival', 'Politics and Government', 'Censorship', 'Awards, Decorations and Honors']"
2020-03-01,Baristas at Starbucks Accuse Service Company of Abuse and Pay Gaps,article,News,,"['Discrimination', 'Organized Labor', 'Wages and Salaries', 'Race and Ethnicity', 'Black People', 'Transgender and Transsexuals', 'AIRPORTS', 'Immigration and Emigration']"
2020-03-01,"Defiant Iranian Directors Speak Out About Censorship, Onscreen and Off",article,News,,"['Movies', 'Berlin International Film Festival', 'Politics and Government', 'Censorship', 'Awards, Decorations and Honors']"
2020-03-01,Intel’s Culture Needed Fixing. Its C.E.O. Is Shaking Things Up.,article,News,,"['Computer Chips', 'APPOINTMENTS AND EXECUTIVE CHANGES', 'Engineering and Engineers', 'Executives and Management (Theory)']"
2020-03-01,"As Another Election Looms, Israelis Ponder Politics, and Contagion",article,News,,"['Elections', 'Coronavirus (2019-nCoV)', 'Travel and Vacations']"
2020-03-01,Fear of Coronavirus Leaves the Faithful Without Mass in Italy’s North,article,News,,"['Coronavirus (2019-nCoV)', 'Travel Warnings']"
2020-03-01,Kobe Bryant’s Widow ‘Devastated’ by Reports That Deputies Shared Crash Photos,article,News,,"['Helicopters', 'Privacy', 'Aviation Accidents, Safety and Disasters']"
2020-03-01,Greece Suspends Asylum as Turkey Opens Gates for Migrants,article,News,,"['Immigration and Emigration', 'Refugees and Displaced Persons', 'Defense and Military Forces']"
2020-03-01,Afghanistan War Enters New Stage as U.S. Military Prepares to Exit,article,News,,"['United States Defense and Military Forces', 'Terrorism', 'Afghanistan War (2001- )']"
2020-03-01,"For Buttigieg, a Search for Black Support That Never Arrived",article,News,,"['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People']"
2020-03-01,"Amber Bloom, Dov Lebowitz-Nowak",article,News,,['Weddings and Engagements']
2020-03-01,Israeli Slugfest:The Campaign in Pictures,article,News,,"['Politics and Government', 'Elections']"
2020-03-01,"‘Invisible Man’ Tops Box Office, Giving New Life to Old Monsters",article,News,,['Movies']
2020-03-01,"In India, Modi’s Policies Have Lit a Fuse",article,News,,"['Politics and Government', 'Muslims and Islam', 'Demonstrations, Protests and Riots', 'Hinduism', 'Police Brutality, Misconduct and Shootings', 'Discrimination']"
2020-03-01,Pete Buttigieg Drops Out of Democratic Presidential Race,article,News,,['Presidential Election of 2020']
2020-03-01,Milken Had Key Allies in Pardon Bid: Trump’s Inner Circle,article,News,,"['Amnesties, Commutations and Pardons', 'Securities and Commodities Violations', 'United States Politics and Government']"
2020-03-01,"Danielle Foster, Douglas Graham",article,News,,['Weddings and Engagements']
2020-03-01,The Week in Business: It Was All About the Coronavirus,article,News,,"['Stocks and Bonds', 'United States Economy', 'Coronavirus (2019-nCoV)', 'Mergers, Acquisitions and Divestitures', 'International Trade and World Market']"
2020-03-01,"Winning South Carolina, Biden Makes Case Against Sanders: ‘Win Big or Lose’",article,News,,"['Presidential Elections (US)', 'Primaries and Caucuses', 'Presidential Election of 2020', 'Voting and Voters', 'Black People', 'Polls and Public Opinion']"
2020-03-01,Tom Steyer Drops Out of 2020 Presidential Race,article,News,,"['Presidential Election of 2020', 'Campaign Finance', 'Primaries and Caucuses', 'United States Politics and Government']"
2020-03-01,‘Slovakia Has Woken Up’: Governing Party Suffers Decisive Election Defeat,article,News,,"['Politics and Government', 'Corruption (Institutional)', 'Elections', 'Neo Nazi Groups', 'Organized Crime']"
2020-03-01,Afghan Peace Plan Faces Its First Roadblock: Releasing Taliban Prisoners,article,News,,"['Terrorism', 'Women and Girls', 'Afghanistan War (2001- )']"
2020-03-01,"‘Invisible Man’ Tops Box Office, Giving New Life to Old Monsters",article,News,,['Movies']
2020-03-01,Avoiding Coronavirus May Be a Luxury Some Workers Can’t Afford,article,News,,"['Paid Time Off', 'Coronavirus (2019-nCoV)', 'Telecommuting', 'Income Inequality', 'Health Insurance and Managed Care']"
2020-03-01,"In India, Modi’s Policies Have Lit a Fuse",article,News,,"['Politics and Government', 'Muslims and Islam', 'Demonstrations, Protests and Riots', 'Hinduism', 'Police Brutality, Misconduct and Shootings', 'Discrimination']"
2020-03-01,The Met Opera’s ‘Dutchman’ Sails Into Port With a New Star,article,News,,['Opera']
2020-03-01,The Met Opera’s ‘Dutchman’ Sails Into Port With a New Star,article,News,,['Opera']
2020-03-01,Why Some Suburban Women Are Wary of Bernie Sanders,article,News,,"['Presidential Election of 2020', 'Primaries and Caucuses', 'Women and Girls']"
2020-03-01,This Was Molly Seidel’s First Marathon. Her Next Will Be at the Olympics.,article,News,,"['Olympic Games (2020)', 'Marathon Running']"
2020-03-01,"Panic Shopping for Coronavirus Supplies, but Brunch Is Packed",article,News,,"['Coronavirus (2019-nCoV)', 'Travel and Vacations']"
